Exercise;Short YouTube Demonstration;In-Depth YouTube Explanation;Difficulty Level;Target Muscle Group ;Prime Mover Muscle;Secondary Muscle;Tertiary Muscle;Primary Equipment ;# Primary Items;Secondary Equipment;# Secondary Items;Posture;Single or Double Arm;Continuous or Alternating Arms ;Grip;Load Position (Ending);Continuous or Alternating Legs ;Foot Elevation;Combination Exercises;Movement Pattern #1;Movement Pattern #2;Movement Pattern #3;Plane Of Motion #1;Plane Of Motion #2;Plane Of Motion #3;Body Region;Force Type;Mechanics;Laterality;Primary Exercise Classification
Parallette Straddle Planche Push Up;0;0;Master;Chest;Pectoralis Major;Triceps Brachii;Rectus Abdominis;Parallette Bars;2;None;0;Prone;Double Arm;Continuous;Neutral;No Load;Continuous;No Elevation;Single Exercise;Horizontal Push;Isometric Hold;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Calisthenics
Bar Dead Hang to Front Lever Pull Up;0;0;Master;Back;Latissimus Dorsi;;;Pull Up Bar;1;None;0;Hanging;Double Arm;Continuous;Pronated;No Load;Continuous;No Elevation;Combo Exercise;Horizontal Pull;;;Sagittal Plane;;;Upper Body;Pull;Compound;Bilateral;Calisthenics
Bar Full Front Lever Pull Up;0;0;Master;Back;Latissimus Dorsi;;;Pull Up Bar;1;None;0;Hanging;Double Arm;Continuous;Pronated;No Load;Continuous;No Elevation;Single Exercise;Horizontal Pull;;;Sagittal Plane;;;Upper Body;Pull;Compound;Bilateral;Calisthenics
Barbell Overhead Bulgarian Split Squat ;https://youtu.be/F_t7_XRdLbs?si=moBf8_s1adbBBwRY;https://youtu.be/F_t7_XRdLbs?si=moBf8_s1adbBBwRY;Advanced;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Barbell;1;Bench (Flat);1;Single Leg Supported;Double Arm;Continuous;Pronated;Overhead;Continuous;Foot Elevated (Rear);Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Barbell Bulgarian Split Squat Thruster;0;0;Advanced;Shoulders;Anterior Deltoids;Quadriceps Femoris;Gluteus Maximus;Barbell;1;Bench (Flat);1;Single Leg Supported;Double Arm;Continuous;Pronated;Overhead;Continuous;Foot Elevated (Rear);Combo Exercise;Vertical Push;Knee Dominant;;Sagittal Plane;;;Full Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Barbell Overhead Bulgarian Split Squat ;0;0;Expert;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Barbell;1;Bench (Flat);1;Single Leg Supported;Single Arm;Continuous;Pronated;Overhead;Continuous;Foot Elevated (Rear);Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Bodyweight Full Planche Push Up;0;0;Master;Chest;Pectoralis Major;Triceps Brachii;Rectus Abdominis;Bodyweight;1;None;0;Prone;Double Arm;Continuous;Flat Palm;No Load;Continuous;No Elevation;Single Exercise;Horizontal Push;Isometric Hold;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Calisthenics
Bodyweight Straddle Planche Push Up;https://youtu.be/qgNYrUdn1Oo?si=66l491gj5kmLLjA0;https://youtu.be/qgNYrUdn1Oo?si=66l491gj5kmLLjA0;Master;Chest;Pectoralis Major;Triceps Brachii;Rectus Abdominis;Bodyweight;1;None;0;Prone;Double Arm;Continuous;Flat Palm;No Load;Continuous;No Elevation;Single Exercise;Horizontal Push;Isometric Hold;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Calisthenics
Ring Grip Full Planche Push Up;0;0;Legendary;Chest;Pectoralis Major;Triceps Brachii;Rectus Abdominis;Gymnastic Rings;2;None;0;Prone;Double Arm;Continuous;Neutral;No Load;Continuous;No Elevation;Single Exercise;Horizontal Push;Isometric Hold;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Calisthenics
Bodyweight Two Finger Full Planche Push Up;https://youtu.be/CGeBvG5XP7U?si=nGM9dXX2v8dyqJA_;https://youtu.be/CGeBvG5XP7U?si=nGM9dXX2v8dyqJA_;Legendary;Chest;Pectoralis Major;Triceps Brachii;Rectus Abdominis;Bodyweight;1;None;0;Prone;Double Arm;Continuous;Fingertip;No Load;Continuous;No Elevation;Single Exercise;Horizontal Push;Isometric Hold;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Calisthenics
Ring Grip Straddle Planche Push Up;0;0;Legendary;Chest;Pectoralis Major;Triceps Brachii;Rectus Abdominis;Gymnastic Rings;2;None;0;Prone;Double Arm;Continuous;Neutral;No Load;Continuous;No Elevation;Single Exercise;Horizontal Push;Isometric Hold;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Calisthenics
Bodyweight Push Up to Alternating Kick Through;https://youtu.be/wcBXDGhqnBU;https://youtu.be/wcBXDGhqnBU;Intermediate;Chest;Pectoralis Major;Rectus Abdominis;;Bodyweight;1;None;0;Prone;Double Arm;Alternating;Flat Palm;No Load;Alternating;No Elevation;Combo Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Unilateral;Animal Flow
Bodyweight Standing Walkout Push Up ;https://youtu.be/zR7oQp1Ucq8;https://youtu.be/zR7oQp1Ucq8;Intermediate;Chest;Pectoralis Major;Rectus Abdominis;;Bodyweight;1;None;0;Prone;Double Arm;Alternating;Flat Palm;No Load;Continuous;No Elevation;Single Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Unsorted*
Ring Pull Up;https://youtu.be/cLqkGqiva1M;https://youtu.be/cLqkGqiva1M;Intermediate;Back;Latissimus Dorsi;;;Gymnastic Rings;2;None;0;Hanging;Double Arm;Continuous;Pronated;No Load;Continuous;No Elevation;Single Exercise;Vertical Pull;;;Sagittal Plane;;;Upper Body;Pull;Compound;Bilateral;Calisthenics
Single Arm Plate Windmill;https://youtu.be/P-dqLz-r5po;https://youtu.be/P-dqLz-r5po;Advanced;Abdominals;Obliques;Rectus Abdominis;Anterior Deltoids;Weight Plate;1;None;0;Standing;Single Arm;Continuous;Flat Palm;Overhead;Continuous;No Elevation;Single Exercise;Rotational;;;Transverse Plane;;;Midsection;Other;Compound;Unilateral;Grinds
Single Arm Plate Turkish Get Up;https://youtu.be/4_RrnWT847k;https://youtu.be/4_RrnWT847k;Advanced;Abdominals;Obliques;Rectus Abdominis;;Weight Plate;1;None;0;Supine;Single Arm;Continuous;Flat Palm;Overhead;Continuous;No Elevation;Single Exercise;Rotational;;;Transverse Plane;Sagittal Plane;;Full Body;Other;Compound;Unilateral;Grinds
Bodyweight Pike Push Up;https://youtu.be/QIZ6RXq72ZI;https://youtu.be/QIZ6RXq72ZI;Intermediate;Shoulders;Anterior Deltoids;Triceps Brachii;;Bodyweight;1;None;0;Inverted;Double Arm;Continuous;Flat Palm;No Load;Continuous;No Elevation;Single Exercise;Vertical Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Calisthenics
Parallette Feet Elevated Pike Push Up ;https://youtu.be/EqXFl_YxF8k;https://youtu.be/EqXFl_YxF8k;Intermediate;Shoulders;Anterior Deltoids;Triceps Brachii;;Parallette Bars;2;Bench (Flat);1;Inverted;Double Arm;Continuous;Neutral;No Load;Continuous;Feet Elevated;Single Exercise;Vertical Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Calisthenics
Barbell Sots Press;https://youtu.be/eJ9MLnNV6FY;https://youtu.be/eJ9MLnNV6FY;Intermediate;Shoulders;Anterior Deltoids;Triceps Brachii;Quadriceps Femoris;Barbell;1;None;0;Other;Double Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Single Exercise;Vertical Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Bodybuilding
Double Kettlebell Bottoms Up Snatch;https://youtu.be/jcC9NyGLGyg;https://youtu.be/jcC9NyGLGyg;Advanced;Glutes;Gluteus Maximus;Anterior Deltoids ;;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Bottoms Up;Overhead;Continuous;No Elevation;Single Exercise;Hip Hinge;;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Bilateral;Ballistics
Alternating Single Arm Kettlebell Bottoms Up Snatch;0;0;Advanced;Glutes;Gluteus Maximus;Anterior Deltoids ;;Kettlebell;1;None;0;Standing;Single Arm;Alternating;Bottoms Up;Overhead;Continuous;No Elevation;Single Exercise;Hip Hinge;;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Unilateral;Ballistics
Alternating Single Arm Kettlebell Around the World High Catch;0;0;Intermediate;Abdominals;Rectus Abdominis;;;Kettlebell;1;None;0;Standing;Single Arm;Alternating;Pronated;Other;Continuous;No Elevation;Single Exercise;Anti-Rotational;Knee Dominant;;Transverse Plane;;;Unsorted*;Other;Compound;Unilateral;Unsorted*
Alternating Single Arm Kettlebell Tall Kneeling Around the World High Catch;0;0;Intermediate;Abdominals;Rectus Abdominis;;;Kettlebell;1;None;0;Tall Kneeling;Single Arm;Alternating;Pronated;Other;Continuous;No Elevation;Single Exercise;Anti-Rotational;;;Transverse Plane;;;Unsorted*;Other;Compound;Unilateral;Unsorted*
Single Arm Kettlebell Around the World;https://youtu.be/6AzrdFj3Qfc?si=52vAx7-XXfvkSz_l;https://youtu.be/6AzrdFj3Qfc?si=52vAx7-XXfvkSz_l;Novice;Abdominals;Rectus Abdominis;;;Kettlebell;1;None;0;Standing;Single Arm;Continuous;Pronated;Other;Continuous;No Elevation;Single Exercise;Anti-Rotational;;;Transverse Plane;;;Unsorted*;Other;Compound;Unilateral;Unsorted*
Single Arm Dumbbell V Sit Overhead Press ;https://youtu.be/KphEeWT_EXs?si=1en5_zFQUTMs9jO1;https://youtu.be/KphEeWT_EXs?si=1en5_zFQUTMs9jO1;Intermediate;Shoulders;Anterior Deltoids;Triceps Brachii;Rectus Abdominis;Dumbbell;1;None;0;V Sit Seated;Single Arm;Continuous;Neutral;Overhead;Continuous;No Elevation;Single Exercise;Vertical Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Dumbbell Z Press;https://youtu.be/Ib-8BOyAgTQ;https://youtu.be/Ib-8BOyAgTQ;Intermediate;Shoulders;Anterior Deltoids;Triceps Brachii;Rectus Abdominis;Dumbbell;1;None;0;Seated Floor;Single Arm;Continuous;Neutral;Overhead;Continuous;No Elevation;Single Exercise;Vertical Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Unilateral;Bodybuilding
Parallette Feet Elevated Push Up;https://youtu.be/JtBPG6VeJ9Q;https://youtu.be/JtBPG6VeJ9Q;Intermediate;Chest;Pectoralis Major;Triceps Brachii;;Parallette Bars;2;Bench (Flat);1;Prone;Double Arm;Continuous;Neutral;No Load;Continuous;Feet Elevated;Single Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Calisthenics
Stability Ball Feet Elevated Diamond Push Up;https://youtu.be/-2fkjhJfcP8;https://youtu.be/-2fkjhJfcP8;Intermediate;Triceps;Triceps Brachii ;Pectoralis Major;Anterior Deltoids;Stability Ball;1;None;0;Prone;Double Arm;Continuous;Flat Palm;No Load;Continuous;Feet Elevated;Single Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Unsorted*
Bodyweight Tricep Extension;https://youtu.be/O8WGl4_aYTQ?si=eq7Ylf5fkEliBcxD;https://youtu.be/O8WGl4_aYTQ?si=eq7Ylf5fkEliBcxD;Intermediate;Triceps;Triceps Brachii ;;;Bodyweight;1;None;0;Prone;Double Arm;Continuous;Forearm;No Load;Continuous;No Elevation;Single Exercise;Elbow Extension;;;Sagittal Plane;;;Upper Body;Push;Isolation;Bilateral;Calisthenics
Alternating Single Arm Kettlebell Around the World;https://youtu.be/ekR7MDSWwEQ;https://youtu.be/ekR7MDSWwEQ;Novice;Abdominals;Rectus Abdominis;;;Kettlebell;1;None;0;Standing;Single Arm;Alternating;Pronated;Other;Continuous;No Elevation;Single Exercise;Anti-Rotational;;;Transverse Plane;;;Unsorted*;Other;Compound;Unilateral;Unsorted*
Single Arm Kettlebell Tall Kneeling Around the World;https://youtu.be/9vZ0CU0dHcE;https://youtu.be/9vZ0CU0dHcE;Novice;Abdominals;Rectus Abdominis;;;Kettlebell;1;None;0;Tall Kneeling;Single Arm;Continuous;Pronated;Other;Continuous;No Elevation;Single Exercise;Anti-Rotational;;;Transverse Plane;;;Unsorted*;Other;Compound;Unilateral;Unsorted*
Alternating Single Arm Tall Kneeling Around the World;0;0;Novice;Abdominals;Rectus Abdominis;;;Kettlebell;1;None;0;Tall Kneeling;Single Arm;Alternating;Pronated;Other;Continuous;No Elevation;Single Exercise;Anti-Rotational;;;Transverse Plane;;;Unsorted*;Other;Compound;Unilateral;Unsorted*
Single Arm Kettlebell Waiter Clean;https://youtu.be/fLXYRpxW4FI?si=AjNKRKLLVjzA8Uow;https://youtu.be/fLXYRpxW4FI?si=AjNKRKLLVjzA8Uow;Advanced;Glutes;Gluteus Maximus;;;Kettlebell;1;None;0;Standing;Single Arm;Continuous;Waiter Hold;Front Rack;Continuous;No Elevation;Single Exercise;Hip Hinge;;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Unilateral;Ballistics
Alternating Single Arm Kettlebell Waiter Clean;https://youtu.be/eH7w5psLPpk?si=XnO0PygbF5fzKCsm;https://youtu.be/eH7w5psLPpk?si=XnO0PygbF5fzKCsm;Advanced;Glutes;Gluteus Maximus;;;Kettlebell;1;None;0;Standing;Single Arm;Alternating;Waiter Hold;Front Rack;Continuous;No Elevation;Single Exercise;Hip Hinge;;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Unilateral;Ballistics
Double Kettlebell Waiter Clean;https://youtu.be/K8atAt0LaTU?si=9XbtgY4Ntm5G8h7v;https://youtu.be/K8atAt0LaTU?si=9XbtgY4Ntm5G8h7v;Advanced;Glutes;Gluteus Maximus;;;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Waiter Hold;Front Rack;Continuous;No Elevation;Single Exercise;Hip Hinge;;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Bilateral;Ballistics
Double Kettlebell Waiter Clean to Overhead Press;https://youtu.be/6yF_kl-76jw?si=rsxf0dRezcQc83ke;https://youtu.be/6yF_kl-76jw?si=rsxf0dRezcQc83ke;Advanced;Glutes;Gluteus Maximus;;;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Waiter Hold;Overhead;Continuous;No Elevation;Combo Exercise;Hip Hinge;Vertical Push;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Bilateral;Ballistics
Single Arm Kettlebell Tactical Waiter Clean;0;0;Advanced;Glutes;Gluteus Maximus;;;Kettlebell;1;None;0;Standing;Single Arm;Alternating;Waiter Hold;Front Rack;Continuous;No Elevation;Single Exercise;Hip Hinge;;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Unilateral;Ballistics
Double Kettlebell Waiter Clean to Alternating Overhead Press;https://youtu.be/0WjMjA_4SoE?si=J46etYGhA2sshEat;https://youtu.be/0WjMjA_4SoE?si=J46etYGhA2sshEat;Advanced;Glutes;Gluteus Maximus;Anterior Deltoids;;Kettlebell;2;None;0;Standing;Double Arm;Alternating;Waiter Hold;Overhead;Continuous;No Elevation;Combo Exercise;Hip Hinge;Vertical Push;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Unilateral;Ballistics
Single Arm Kettlebell Waiter Snatch;0;0;Advanced;Glutes;Gluteus Maximus;Anterior Deltoids ;;Kettlebell;1;None;0;Standing;Single Arm;Continuous;Waiter Hold;Overhead;Continuous;No Elevation;Single Exercise;Hip Hinge;;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Unilateral;Ballistics
Alternating Single Arm Kettlebell Waiter Snatch;0;0;Advanced;Glutes;Gluteus Maximus;Anterior Deltoids ;;Kettlebell;1;None;0;Standing;Single Arm;Alternating;Waiter Hold;Overhead;Continuous;No Elevation;Single Exercise;Hip Hinge;;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Unilateral;Ballistics
Barbell Overhead Pistol Squat;0;0;Expert;Quadriceps;Quadriceps Femoris;Gluteus Maximus;;Barbell;1;None;0;Single Leg Standing;Double Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Balance
Barbell Seated Wrist Curl;https://youtu.be/k6F6ugHyTcA?si=XfnVnbcVgnDkbrFv;https://youtu.be/k6F6ugHyTcA?si=XfnVnbcVgnDkbrFv;Intermediate;Forearms;Brachioradialis;;;Barbell;1;Bench (Flat);1;Seated;Double Arm;Continuous;Supinated;Other;Continuous;No Elevation;Single Exercise;Wrist Flexion;;;Sagittal Plane;;;Upper Body;Pull;Isolation;Bilateral;Unsorted*
Single Arm Dumbbell Hollow Body Chest Press;https://youtu.be/D82M_YDEGJ8;https://youtu.be/D82M_YDEGJ8;Intermediate;Chest;Pectoralis Major;Triceps Brachii;Anterior Deltoids;Dumbbell;1;None;0;Supine;Single Arm;Continuous;Pronated;Above Chest;Continuous;No Elevation;Single Exercise;Horizontal Push;Isometric Hold;;Sagittal Plane;;;Upper Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Kettlebell Tactical Waiter Snatch;0;0;Advanced;Glutes;Gluteus Maximus;Anterior Deltoids ;;Kettlebell;1;None;0;Standing;Single Arm;Alternating;Waiter Hold;Overhead;Continuous;No Elevation;Single Exercise;Hip Hinge;;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Unilateral;Ballistics
Single Arm Barbell Overhead Knee Over Toe Split Squat;0;0;Expert;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Soleus;Barbell;1;None;0;Knee Over Toe Split Squat;Single Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Barbell Knee Over Toe Split Squat Thruster;0;0;Expert;Shoulders;Anterior Deltoids;Quadriceps Femoris;Gluteus Maximus;Barbell;1;None;0;Knee Over Toe Split Squat;Single Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Combo Exercise;Vertical Push;Knee Dominant;;Sagittal Plane;;;Full Body;Push;Compound;Unilateral;Bodybuilding
Barbell Knee Over Toe Split Squat Thruster;0;0;Advanced;Shoulders;Anterior Deltoids;Quadriceps Femoris;Gluteus Maximus;Barbell;1;None;0;Knee Over Toe Split Squat;Double Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Combo Exercise;Vertical Push;Knee Dominant;;Sagittal Plane;;;Full Body;Push;Compound;Unilateral;Bodybuilding
Double Kettlebell Waiter Snatch;0;0;Advanced;Glutes;Gluteus Maximus;Anterior Deltoids ;;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Waiter Hold;Overhead;Continuous;No Elevation;Single Exercise;Hip Hinge;;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Bilateral;Ballistics
Double Kettlebell Waiter Clean to Thruster;https://youtu.be/PX80lILLVhw?si=vmOhrWhU-xCpO4kr;https://youtu.be/PX80lILLVhw?si=vmOhrWhU-xCpO4kr;Advanced;Shoulders;Anterior Deltoids;Quadriceps Femoris;;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Waiter Hold;Overhead;Continuous;No Elevation;Combo Exercise;Vertical Push;Knee Dominant;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Bilateral;Ballistics
Kettlebell Start Stop Swing;https://youtu.be/cZSh_cYNXTw;https://youtu.be/cZSh_cYNXTw;Novice;Glutes;Gluteus Maximus;;;Kettlebell;1;None;0;Standing;Double Arm;Continuous;Pronated;Other;Continuous;No Elevation;Single Exercise;Hip Hinge;;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Bilateral;Ballistics
Double Kettlebell Dead Clean;https://youtu.be/qdMDbLUg9_w?si=9t5V4loMJW5VI5mV;https://youtu.be/qdMDbLUg9_w?si=9t5V4loMJW5VI5mV;Intermediate;Glutes;Gluteus Maximus;Biceps Femoris;Rectus Abdominis;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Neutral;Front Rack;Continuous;No Elevation;Single Exercise;Hip Hinge;;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Bilateral;Ballistics
Single Arm Barbell Bulgarian Split Squat Thruster;0;0;Expert;Shoulders;Anterior Deltoids;Quadriceps Femoris;Gluteus Maximus;Barbell;1;Bench (Flat);1;Single Leg Supported;Single Arm;Continuous;Pronated;Overhead;Continuous;Foot Elevated (Rear);Combo Exercise;Vertical Push;Knee Dominant;;Sagittal Plane;;;Full Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Barbell Windmill;0;0;Expert;Abdominals;Obliques;Rectus Abdominis;Anterior Deltoids;Barbell;1;None;0;Standing;Single Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Single Exercise;Rotational;;;Transverse Plane;;;Midsection;Other;Compound;Unilateral;Grinds
Bodyweight Windmill;https://youtu.be/87I2gbRgtUI?si=4hUJ0N3X8wu8MMKC;https://youtu.be/87I2gbRgtUI?si=4hUJ0N3X8wu8MMKC;Novice;Abdominals;Obliques;Rectus Abdominis;Anterior Deltoids;Bodyweight;1;None;0;Standing;Double Arm;Continuous;No Grip;No Load;Continuous;No Elevation;Single Exercise;Rotational;;;Transverse Plane;;;Midsection;Other;Compound;Unilateral;Grinds
Superband Split Squat Isometric Pallof Press;https://youtu.be/a4ctQ6GYixo?si=WP2e4CVK5KsFEluY;https://youtu.be/a4ctQ6GYixo?si=WP2e4CVK5KsFEluY;Intermediate;Abdominals;Obliques;Rectus Abdominis;;Superband;1;None;0;Split Squat Isometric;Double Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Anti-Rotational;Isometric Hold;;Transverse Plane;;;Full Body;Other;Compound;Unilateral;Balance
Single Arm Barbell Turkish Get Up;https://youtu.be/VAFM8kbz8uA?si=UAPSMjiSnRLN3jl3;https://youtu.be/VAFM8kbz8uA?si=UAPSMjiSnRLN3jl3;Expert;Abdominals;Obliques;Rectus Abdominis;;Barbell;1;None;0;Supine;Single Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Single Exercise;Rotational;;;Transverse Plane;Sagittal Plane;;Full Body;Other;Compound;Unilateral;Grinds
Bodyweight Plate Plyometric Push Up;https://youtu.be/jmzZ2wQdXao;https://youtu.be/jmzZ2wQdXao;Intermediate;Chest;Pectoralis Major;Triceps Brachii;Anterior Deltoids;Bodyweight;1;None;0;Prone;Double Arm;Continuous;Flat Palm;No Load;Continuous;No Elevation;Single Exercise;Horizontal Push;;;Sagittal Plane;;;Upper Body;Push;Compound;Bilateral;Plyometric
Single Arm Dumbbell Single Leg Contralateral Bent Over Row;https://youtu.be/KsEBTYuqemI;https://youtu.be/KsEBTYuqemI;Intermediate;Back;Latissimus Dorsi;Rhomboids;Posterior Deltoids;Dumbbell;1;None;0;Single Leg Standing;Single Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Horizontal Pull;;;Sagittal Plane;;;Upper Body;Pull;Compound;Contralateral;Bodybuilding
Double Dumbbell Single Leg Bent Over Row;https://youtu.be/LrbAy459jkg?si=UDFXUQgUuwN4hkBz;https://youtu.be/LrbAy459jkg?si=UDFXUQgUuwN4hkBz;Intermediate;Back;Latissimus Dorsi;Rhomboids;Posterior Deltoids;Dumbbell;2;None;0;Single Leg Standing;Double Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Horizontal Pull;;;Sagittal Plane;;;Upper Body;Pull;Compound;Unilateral;Bodybuilding
Single Arm Kettlebell Bottoms Up Thruster;https://youtu.be/lbnYFCHrjvk;https://youtu.be/lbnYFCHrjvk;Intermediate;Quadriceps;Quadriceps Femoris;Anterior Deltoids;;Kettlebell;1;None;0;Standing;Single Arm;Continuous;Bottoms Up;Overhead;Continuous;No Elevation;Single Exercise;Knee Dominant;Vertical Push;;Sagittal Plane;;;Full Body;Push;Compound;Unilateral;Bodybuilding
Alternating Double Kettlebell Bottoms Up Thruster;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Anterior Deltoids;;Kettlebell;2;None;0;Standing;Double Arm;Alternating;Bottoms Up;Overhead;Continuous;No Elevation;Single Exercise;Knee Dominant;Vertical Push;;Sagittal Plane;;;Full Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Kettlebell Dead Clean;https://youtu.be/Lcm7DcXbm-U;https://youtu.be/Lcm7DcXbm-U;Intermediate;Glutes;Gluteus Maximus;Biceps Femoris;Rectus Abdominis;Kettlebell;1;None;0;Standing;Single Arm;Continuous;Neutral;Front Rack;Continuous;No Elevation;Single Exercise;Hip Hinge;;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Unilateral;Ballistics
Alternating Single Arm Kettlebell Dead Clean;https://youtu.be/FAtcUX6VxWo;https://youtu.be/FAtcUX6VxWo;Intermediate;Glutes;Gluteus Maximus;Biceps Femoris;Rectus Abdominis;Kettlebell;1;None;0;Standing;Single Arm;Alternating;Neutral;Front Rack;Continuous;No Elevation;Single Exercise;Hip Hinge;;;Sagittal Plane;;;Full Body;Unsorted*;Compound;Unilateral;Ballistics
Single Arm Dumbbell Bird Dog Row;https://youtu.be/O1mck-Oil5Y;https://youtu.be/O1mck-Oil5Y;Intermediate;Back;Latissimus Dorsi;Rectus Abdominis;Gluteus Maximus;Dumbbell;1;None;0;Quadruped;Single Arm;Continuous;Neutral;Other;Continuous;No Elevation;Single Exercise;Horizontal Pull;;;Sagittal Plane;;;Upper Body;Pull;Compound;Unilateral;Bodybuilding
Single Arm Kettlebell Bottoms Up Half Kneeling Windmill;https://youtu.be/U6kn-AypL7c;https://youtu.be/U6kn-AypL7c;Advanced;Abdominals;Obliques;Rectus Abdominis;Anterior Deltoids;Kettlebell;1;None;0;Half Kneeling;Single Arm;Continuous;Bottoms Up;Overhead;Continuous;No Elevation;Single Exercise;Rotational;;;Transverse Plane;;;Midsection;Other;Compound;Unilateral;Grinds
Alternating Single Arm Kettlebell Half Kneeling Around the World High Catch;0;0;Intermediate;Abdominals;Rectus Abdominis;;;Kettlebell;1;None;0;Half Kneeling;Single Arm;Alternating;Pronated;Other;Continuous;No Elevation;Single Exercise;Anti-Rotational;;;Transverse Plane;;;Unsorted*;Other;Compound;Unilateral;Unsorted*
Double Dumbbell Renegade Row ;https://youtu.be/U_kv9LRu6_I?si=o6wONfSHOO4nrgpy;https://youtu.be/U_kv9LRu6_I?si=o6wONfSHOO4nrgpy;Intermediate;Back;Latissimus Dorsi;;;Dumbbell;2;None;0;Prone;Double Arm;Alternating;Neutral;Other;Continuous;No Elevation;Single Exercise;Horizontal Pull;Anti-Extension;;Sagittal Plane;;;Upper Body;Pull;Compound;Unilateral;Bodybuilding
Single Arm Barbell Overhead Toe Balance Squat;0;0;Expert;Quadriceps;Quadriceps Femoris;Gluteus Maximus;;Barbell;1;None;0;Toe Balance;Single Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Balance
Barbell Overhead Toe Balance Squat;0;0;Advanced;Quadriceps;Quadriceps Femoris;Gluteus Maximus;;Barbell;1;None;0;Toe Balance;Double Arm;Continuous;Pronated;Overhead;Continuous;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Bilateral;Balance
Ring Kneeling Rollout;https://youtu.be/LMQIG45Wwd8;https://youtu.be/LMQIG45Wwd8;Intermediate;Abdominals;Rectus Abdominis;Latissimus Dorsi;Serratus Anterior;Gymnastic Rings;2;None;0;Kneeling;Double Arm;Continuous;Pronated;No Load;Continuous;No Elevation;Single Exercise;Anti-Extension;;;Sagittal Plane;;;Midsection;Other;Compound;Bilateral;Calisthenics
