Exercise;Short YouTube Demonstration;In-Depth YouTube Explanation;Difficulty Level;Target Muscle Group ;Prime Mover Muscle;Secondary Muscle;Tertiary Muscle;Primary Equipment ;# Primary Items;Secondary Equipment;# Secondary Items;Posture;Single or Double Arm;Continuous or Alternating Arms ;Grip;Load Position (Ending);Continuous or Alternating Legs ;Foot Elevation;Combination Exercises;Movement Pattern #1;Movement Pattern #2;Movement Pattern #3;Plane Of Motion #1;Plane Of Motion #2;Plane Of Motion #3;Body Region;Force Type;Mechanics;Laterality;Primary Exercise Classification
Single Arm Clubbell Order Alternating Lateral Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Clubbell;1;None;0;Standing;Single Arm;Continuous;Neutral;Order;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Clubbell Order Alternating Forward Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Clubbell;1;None;0;Standing;Single Arm;Continuous;Neutral;Order;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Clubbell Order Alternating Reverse Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Clubbell;1;None;0;Standing;Single Arm;Continuous;Neutral;Order;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Landmine Low Hold Alternating Lateral Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Landmine;1;None;0;Standing;Double Arm;Continuous;Neutral;Low Hold;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Landmine Goblet Alternating Lateral Lunge;https://youtu.be/-hWgE1P2aAA?si=7mOaE_-aBxpQNBSX;https://youtu.be/-hWgE1P2aAA?si=7mOaE_-aBxpQNBSX;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Landmine;1;None;0;Standing;Double Arm;Continuous;Goblet;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Landmine Goblet Alternating Reverse Lunge;https://youtu.be/VI0GDe_doBk?si=U14f8Dk6Ly1aMzBr;https://youtu.be/VI0GDe_doBk?si=U14f8Dk6Ly1aMzBr;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Landmine;1;None;0;Standing;Double Arm;Continuous;Goblet;Front Rack;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Macebell Order Alternating Lateral Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Macebell;1;None;0;Standing;Double Arm;Continuous;Neutral;Order;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Macebell Order Alternating Forward Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Macebell;1;None;0;Standing;Double Arm;Continuous;Neutral;Order;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Macebell Order Alternating Reverse Lunge;0;0;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Macebell;1;None;0;Standing;Double Arm;Continuous;Neutral;Order;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Kettlebell Bottoms Up Overhead Alternating Lateral Lunge;0;0;Advanced;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Adductor Magnus;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Bottoms Up;Overhead;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Frontal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Kettlebell Bottoms Up Overhead Alternating Forward Lunge;0;0;Advanced;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Bottoms Up;Overhead;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Kettlebell Bottoms Up Overhead Alternating Reverse Lunge;0;0;Advanced;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Kettlebell;2;None;0;Standing;Double Arm;Continuous;Bottoms Up;Overhead;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Kettlebell Suitcase Alternating Forward Lunge;https://youtu.be/aopAoW1cmUk?si=EyVEsJC9bLaQC6ND;https://youtu.be/aopAoW1cmUk?si=EyVEsJC9bLaQC6ND;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Biceps Femoris;Kettlebell;1;None;0;Standing;Single Arm;Continuous;Neutral;Suitcase;Alternating;No Elevation;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Double Dumbbell Front Rack Cyclist Squat;https://youtu.be/QV4DL31Ch94?si=6O9QTMoEB9MtwsZY;https://youtu.be/QV4DL31Ch94?si=6O9QTMoEB9MtwsZY;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Soleus;Dumbbell;2;Slant Board;1;Standing;Double Arm;Continuous;Neutral;Front Rack;Continuous;Heels Elevated;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Bilateral;Bodybuilding
Double Dumbbell Overhead Cyclist Squat;0;0;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Soleus;Dumbbell;2;Slant Board;1;Standing;Double Arm;Continuous;Neutral;Overhead;Continuous;Heels Elevated;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Bilateral;Bodybuilding
Single Arm Dumbbell Front Rack Cyclist Squat;https://youtu.be/eGKpS3AxCVA?si=-uyv4kyU-FY0yBfB;https://youtu.be/eGKpS3AxCVA?si=-uyv4kyU-FY0yBfB;Novice;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Soleus;Dumbbell;1;Slant Board;1;Standing;Single Arm;Continuous;Neutral;Front Rack;Continuous;Heels Elevated;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
Single Arm Dumbbell Overhead Cyclist Squat;https://youtu.be/Fm-EgA1xP4g?si=TXFdciSwYJ3flVng;https://youtu.be/Fm-EgA1xP4g?si=TXFdciSwYJ3flVng;Intermediate;Quadriceps;Quadriceps Femoris;Gluteus Maximus;Soleus;Dumbbell;1;Slant Board;1;Standing;Single Arm;Continuous;Neutral;Overhead;Continuous;Heels Elevated;Single Exercise;Knee Dominant;;;Sagittal Plane;;;Lower Body;Push;Compound;Unilateral;Bodybuilding
